cut,color,clarity,carat,price
Fair,G,SI1,1.03,3052
Fair,I,SI2,1.01,3054
Fair,I,SI2,1.01,3054
Fair,H,SI1,0.82,3057
Fair,G,VVS1,0.71,3062
Fair,F,SI2,0.9,3062
Fair,I,VVS2,0.9,3074
Fair,D,VS2,0.71,3077
Fair,D,SI2,0.91,3079
Fair,J,VS1,1,3080
Fair,E,SI2,0.9,3084
Fair,E,SI2,0.9,3084
Fair,I,SI2,1.02,3084
Fair,G,SI2,0.9,3104
Fair,G,SI2,0.9,3104
Fair,H,SI2,0.9,3105
Fair,F,SI1,0.92,3117
Fair,H,SI2,1.16,3118
Fair,J,SI2,1.02,3119
Fair,E,SI2,0.91,3119
Fair,E,SI2,1,3136
Fair,E,SI2,1,3136
Fair,E,SI2,1,3136
Fair,G,SI2,1,3142
Fair,G,SI2,1,3142
Fair,G,SI1,0.9,3145
Fair,G,SI1,0.9,3145
Fair,G,SI1,0.9,3145
Fair,H,SI1,0.9,3145
Fair,F,SI2,1,3146
Fair,J,SI2,1.03,3149
Fair,J,SI1,0.95,3154
Fair,F,SI1,0.9,3160
Fair,H,SI2,1,3164
Fair,I,VS2,0.87,3166
Fair,H,SI2,1.01,3167
Fair,F,SI2,1.09,3170
Fair,F,VS2,0.84,3172
Fair,G,SI2,0.93,3172
Fair,G,SI2,1.01,3173
Fair,J,SI1,1,3175
Fair,H,I1,1.5,3175
Fair,H,SI1,0.91,3180
Fair,H,SI1,0.91,3180
Fair,E,SI2,0.9,3187
Fair,J,VS2,1.01,3190
Fair,H,SI2,1,3192
Fair,F,SI1,1.01,3197
Fair,J,SI2,1,3199
Fair,F,IF,0.71,3205
Fair,D,SI2,0.9,3205
Fair,D,SI2,0.9,3205
Fair,D,SI2,0.9,3205
Fair,D,SI2,0.9,3205
Fair,D,SI2,0.9,3205
Fair,F,SI2,0.91,3210
Fair,I,VS2,0.96,3215
Fair,H,VS2,0.9,3226
Fair,J,SI2,1.03,3246
Fair,I,VS2,0.9,3246
Fair,D,VS1,0.25,563
Fair,H,SI2,1,3248
Fair,G,SI1,0.9,3250
Fair,I,VS2,0.93,3258
Fair,I,VS2,1,3265
Fair,F,SI2,1,3265
Fair,F,SI2,1,3265
Fair,E,VS1,0.9,3276
Fair,H,SI1,0.91,3278
Fair,I,SI1,1.01,3280
Fair,H,SI1,0.9,3282
Fair,F,SI2,0.92,3282
Fair,F,SI2,0.92,3282
Fair,H,SI1,0.94,3285
Fair,I,VVS2,0.9,3288
Fair,I,SI2,1.02,3290
Fair,E,SI2,1.01,3294
Fair,D,VVS2,0.7,3296
Fair,G,SI1,0.96,3299
Fair,J,SI2,1.08,3302
Fair,D,SI2,1,3304
Fair,G,SI1,1,3304
Fair,G,VVS2,0.81,3323
Fair,F,SI1,0.92,3323
Fair,F,SI1,0.9,3326
Fair,E,SI1,0.9,3332
Fair,G,SI2,0.98,3332
Fair,I,SI1,0.99,3337
Fair,E,SI2,0.9,3342
Fair,I,SI2,1,3348
Fair,H,SI2,0.94,3353
Fair,G,SI1,0.93,3358
Fair,H,VS2,0.9,3375
Fair,D,SI1,0.9,3382
Fair,D,SI2,0.95,3384
Fair,H,SI1,0.9,3387
Fair,I,VS1,0.9,3387
Fair,F,SI1,1,3387
Fair,J,SI2,1.14,3403
Fair,E,SI1,0.92,3407
Fair,G,VS2,0.86,3418
Fair,J,VS2,1,3422
Fair,J,SI1,1,3427
Fair,F,SI1,0.9,3437
Fair,F,SI2,1,3443
Fair,J,VS2,1.09,3443
Fair,G,SI2,1.01,3461
Fair,H,SI2,1,3472
Fair,D,SI2,0.9,3473
Fair,D,SI2,0.9,3473
Fair,F,SI2,1.01,3477
Fair,H,SI1,1.01,3482
Fair,H,VS1,0.9,3500
Fair,H,I1,1.52,3504
Fair,E,SI1,0.9,3508
Fair,H,SI1,1,3511
Fair,H,SI1,1,3511
Fair,G,SI2,1.03,3530
Fair,I,SI2,1.03,3530
Fair,E,SI2,0.96,3533
Fair,H,SI2,0.92,3536
Fair,H,VS2,0.9,3538
Fair,H,VS2,0.9,3538
Fair,F,SI2,1.01,3540
Fair,G,SI2,1,3541
Fair,G,SI2,1.07,3545
Fair,H,SI1,1.01,3546
Fair,G,SI2,1.04,3564
Fair,E,SI2,1,3575
Fair,H,SI1,0.98,3583
Fair,I,SI1,1,3584
Fair,H,VS2,0.99,3593
Fair,F,SI2,1.01,3597
Fair,I,VS2,1.01,3597
Fair,F,SI2,1.01,3597
Fair,F,SI2,1.01,3597
Fair,F,SI2,0.9,3613
Fair,F,SI2,1.05,3615
Fair,H,SI1,1.03,3617
Fair,F,SI1,0.98,3622
Fair,G,SI1,0.9,3629
Fair,G,SI1,1,3631
Fair,G,SI2,1.06,3633
Fair,F,SI2,1.02,3633
Fair,D,SI2,1,3634
Fair,G,SI1,1,3634
Fair,H,SI2,1,3640
Fair,H,VS2,0.96,3658
Fair,F,SI1,1,3669
Fair,I,SI2,1.12,3669
Fair,G,SI1,1.01,3671
Fair,E,SI2,0.96,3674
Fair,H,VS1,1.01,3676
Fair,F,SI2,0.96,3688
Fair,D,SI1,0.9,3689
Fair,D,SI1,0.9,3689
Fair,E,I1,1.23,3692
Fair,E,SI1,1,3696
Fair,H,SI2,1.2,3696
Fair,H,VS2,0.9,3697
Fair,G,SI1,1,3700
Fair,H,VS2,0.9,3725
Fair,D,SI1,0.91,3730
Fair,D,SI1,0.91,3730
Fair,H,SI2,1.11,3730
Fair,H,VS2,1.01,3733
Fair,F,I1,1.51,3734
Fair,F,I1,1.51,3734
Fair,F,SI2,1,3740
Fair,E,SI1,0.9,3743
Fair,D,SI2,1.03,3743
Fair,I,I1,1.52,3745
Fair,H,SI2,1.03,3749
Fair,F,VS1,0.9,3750
Fair,F,VS2,0.9,3750
Fair,H,SI1,0.93,3750
Fair,D,SI1,0.9,3751
Fair,F,SI2,1.02,3754
Fair,G,VS1,0.86,3756
Fair,E,SI2,1,3763
Fair,I,VS1,1,3763
Fair,E,SI2,1,3763
Fair,G,SI2,1.22,3763
Fair,H,I1,1.51,3765
Fair,G,SI2,1.03,3765
Fair,D,SI2,1,3767
Fair,J,SI1,1,3780
Fair,D,SI2,1.04,3780
Fair,F,SI2,0.9,3787
Fair,G,SI2,1.02,3787
Fair,E,SI2,1.01,3801
Fair,I,VS1,1.01,3801
Fair,I,SI2,1.02,3802
Fair,G,VS1,0.9,3806
Fair,D,SI1,0.9,3812
Fair,E,VVS2,0.73,3813
Fair,D,SI2,1.05,3816
Fair,G,SI2,1.01,3816
Fair,G,SI2,1.01,3816
Fair,H,SI1,0.91,3816
Fair,H,VS2,1,3819
Fair,H,SI1,1,3830
Fair,G,SI1,1,3833
Fair,I,SI2,1.17,3833
Fair,G,SI1,1,3833
Fair,F,VS2,0.91,3837
Fair,F,SI2,1.01,3837
Fair,E,SI2,1.02,3838
Fair,D,SI2,0.9,3847
Fair,D,SI1,0.91,3855
Fair,G,SI2,1.01,3856
Fair,E,SI2,1.08,3861
Fair,H,SI1,1.21,3862
Fair,H,SI2,1.21,3862
Fair,F,SI2,1,3864
Fair,H,SI1,1.01,3869
Fair,H,SI1,1.01,3869
Fair,D,SI2,1.01,3871
Fair,E,VS2,0.9,3875
Fair,E,SI2,1.03,3876
Fair,H,SI2,1.26,3881
Fair,J,VS2,1.01,3886
Fair,E,SI2,1,3889
Fair,E,SI1,1.1,3891
Fair,I,SI1,1.03,3892
Fair,D,SI2,1.18,3899
Fair,E,SI2,1.01,3916
Fair,I,SI1,1,3920
Fair,F,VVS2,0.51,3920
Fair,H,VS1,0.92,3924
Fair,F,VS2,0.9,3931
Fair,D,VS2,0.9,3931
Fair,D,SI1,0.9,3945
Fair,I,VS1,1,3951
Fair,G,SI1,1,3965
Fair,G,SI1,1,3965
Fair,D,SI2,1,3965
Fair,D,SI2,1,3965
Fair,H,SI1,1.02,3972
Fair,F,SI2,1,3975
Fair,J,VS2,1.08,3980
Fair,J,SI2,1.21,3984
Fair,H,SI2,1.25,3990
Fair,E,SI2,1.01,3991
Fair,F,SI1,1.01,3991
Fair,F,VS2,0.9,3992
Fair,G,SI1,1.01,4004
Fair,E,SI2,1,4032
Fair,G,VS2,1,4032
Fair,F,SI2,1,4036
Fair,H,SI2,1.03,4038
Fair,D,VVS2,0.74,4040
Fair,H,VS1,1.01,4044
Fair,G,SI1,1.02,4044
Fair,G,SI2,1.2,4044
Fair,G,SI2,1.01,4047
Fair,F,SI1,0.94,4053
Fair,J,SI2,1.11,4056
Fair,E,VS2,0.9,4057
Fair,G,SI2,1.24,4058
Fair,F,SI1,0.97,4063
Fair,G,VS2,1.01,4072
Fair,E,SI2,1,4077
Fair,I,SI1,1.22,4099
Fair,E,SI1,0.31,579
Fair,G,SI1,1.01,4102
Fair,E,SI1,1.01,4106
Fair,D,VS2,0.91,4107
Fair,D,VS2,0.91,4107
Fair,H,SI2,1.13,4113
Fair,H,VVS1,0.91,4115
Fair,E,SI2,1.01,4118
Fair,E,SI2,1.01,4118
Fair,D,SI1,1.01,4118
Fair,J,SI1,1.13,4123
Fair,E,VS2,0.9,4125
Fair,F,SI2,1.01,4127
Fair,H,SI2,1.01,4129
Fair,H,I1,1.32,4140
Fair,E,SI1,1,4140
Fair,H,I1,1.41,4145
Fair,J,SI1,1.21,4147
Fair,J,SI1,1.21,4147
Fair,H,SI1,1,4150
Fair,J,SI2,1.36,4158
Fair,G,SI1,1,4163
Fair,H,VS2,1,4166
Fair,G,I1,1.51,4167
Fair,F,SI2,1.13,4176
Fair,E,SI1,1.01,4181
Fair,F,VS1,0.9,4183
Fair,H,SI1,1.01,4191
Fair,I,VVS1,0.9,4194
Fair,D,SI2,1.01,4205
Fair,E,SI1,1,4213
Fair,E,SI1,0.9,4220
Fair,H,SI2,1.16,4222
Fair,F,SI1,1.02,4227
Fair,F,VS2,0.9,4229
Fair,D,SI1,0.9,4252
Fair,E,SI2,1,4256
Fair,E,SI1,0.91,4256
Fair,H,SI1,1.01,4256
Fair,F,SI1,1,4256
Fair,I,VS1,1.01,4263
Fair,E,SI2,1,4265
Fair,I,SI1,1.09,4273
Fair,F,SI1,1.01,4276
Fair,F,SI1,1.01,4276
Fair,D,SI1,1.01,4276
Fair,G,I1,1.29,4277
Fair,D,VS2,0.9,4277
Fair,E,VS2,0.31,581
Fair,G,SI1,0.98,4281
Fair,I,VS1,1.05,4281
Fair,J,I1,1.5,4284
Fair,G,SI1,1,4295
Fair,G,SI1,1,4295
Fair,G,SI2,1.16,4307
Fair,G,VS2,0.9,4309
Fair,D,SI2,1,4312
Fair,H,VVS2,1,4312
Fair,H,VVS2,1,4312
Fair,G,SI1,1,4312
Fair,F,VS2,1,4312
Fair,F,SI2,1.01,4317
Fair,F,I1,1.45,4320
Fair,F,SI1,1,4328
Fair,I,VS1,1.03,4328
Fair,I,SI2,1.5,4328
Fair,H,VVS2,1.01,4355
Fair,I,I1,1.5,4368
Fair,I,SI1,1.2,4368
Fair,H,SI2,1.2,4368
Fair,H,VS1,1,4368
Fair,H,VS1,1,4368
Fair,F,VVS2,0.51,4368
Fair,F,SI2,1.24,4375
Fair,D,SI2,1.02,4381
Fair,H,SI2,1.02,4398
Fair,D,SI2,1.04,4398
Fair,D,SI1,1.02,4398
Fair,F,I1,0.5,584
Fair,F,SI1,1.04,4403
Fair,G,SI1,1.01,4417
Fair,I,SI2,1.35,4423
Fair,G,SI1,1.03,4424
Fair,E,SI1,1,4435
Fair,G,VS2,1,4435
Fair,D,VS2,0.91,4439
Fair,D,SI1,1.03,4441
Fair,H,VS1,1.02,4455
Fair,G,VS1,1,4455
Fair,E,VVS2,0.3,586
Fair,H,VS2,1.02,4462
Fair,F,SI1,1.02,4462
Fair,F,VS2,0.91,4474
Fair,E,SI1,1.01,4480
Fair,E,SI1,1.01,4480
Fair,E,VS2,1,4480
Fair,G,VS2,1.01,4480
Fair,E,SI1,0.92,4482
Fair,E,SI2,1.07,4496
Fair,E,SI2,1,4516
Fair,E,SI2,1,4516
Fair,E,VS2,1.01,4525
Fair,G,VVS2,1,4534
Fair,F,VS2,0.9,4536
Fair,D,SI2,1.01,4538
Fair,E,VS2,0.91,4550
Fair,I,SI2,1.26,4551
Fair,I,VS2,1.18,4553
Fair,F,SI1,1.07,4554
Fair,F,SI1,1.01,4561
Fair,E,SI2,1.04,4566
Fair,J,SI2,1.45,4570
Fair,F,SI1,1,4586
Fair,E,SI2,1.01,4600
Fair,G,SI1,1.16,4612
Fair,G,SI2,1.35,4627
Fair,G,VS1,1,4630
Fair,F,SI1,1.01,4634
Fair,G,SI1,1.21,4637
Fair,G,SI1,1.01,4646
Fair,H,I1,1.52,4648
Fair,H,I1,1.52,4648
Fair,F,VS2,1,4656
Fair,F,SI1,1,4657
Fair,H,SI1,1,4665
Fair,F,SI1,1,4679
Fair,F,SI1,1,4688
Fair,I,VS2,1.13,4695
Fair,F,I1,1.33,4698
Fair,D,SI1,1,4704
Fair,I,I1,1.5,4704
Fair,I,I1,1.5,4704
Fair,I,SI2,1.5,4704
Fair,D,SI1,1,4704
Fair,D,SI1,1,4704
Fair,F,SI2,1.22,4705
Fair,J,VS2,0.3,416
Fair,H,SI2,1.17,4717
Fair,D,SI2,1.1,4725
Fair,G,SI2,1.38,4730
Fair,F,VS2,1,4732
Fair,H,VS1,1,4732
Fair,D,SI2,1.26,4746
Fair,D,SI1,1.01,4751
Fair,H,VS2,1.01,4751
Fair,D,SI1,1.01,4751
Fair,D,SI1,1.01,4751
Fair,H,SI1,1.02,4758
Fair,D,VS2,0.91,4765
Fair,E,VS1,0.91,4770
Fair,D,VS2,0.29,592
Fair,F,VS1,0.3,593
Fair,E,SI1,1.08,4790
Fair,F,VS2,1.01,4791
Fair,F,VS2,1.01,4791
Fair,F,VS2,1.01,4791
Fair,D,SI1,0.9,4796
Fair,E,SI1,1,4798
Fair,D,SI1,1.02,4798
Fair,F,SI1,1,4798
Fair,F,SI2,1.29,4824
Fair,F,VS2,1,4829
Fair,G,VS2,1,4838
Fair,J,SI1,1.2,4838
Fair,E,SI1,1.01,4844
Fair,E,SI1,1,4844
Fair,D,SI1,1.03,4845
Fair,F,SI1,0.96,4849
Fair,G,I1,1.64,4849
Fair,E,SI1,1.01,4853
Fair,G,VS2,0.91,4860
Fair,H,VS2,1,4861
Fair,G,VS1,1.01,4864
Fair,E,SI2,1.11,4873
Fair,G,VS2,1.01,4887
Fair,G,VS2,1.01,4887
Fair,G,VS1,1,4892
Fair,H,I1,1.47,4898
Fair,F,SI2,1.18,4903
Fair,F,SI2,1.2,4915
Fair,H,SI2,1.2,4916
Fair,E,SI2,1.33,4916
Fair,F,SI1,1,4925
Fair,E,SI2,1.21,4926
Fair,G,VVS2,1,4928
Fair,H,SI1,1.02,4935
Fair,H,I1,1.5,4939
Fair,H,I1,1.5,4939
Fair,G,SI2,1.26,4966
Fair,E,VS2,1.01,4972
Fair,F,VS1,1,4984
Fair,H,SI2,1.5,5000
Fair,E,SI1,1,5027
Fair,F,SI2,1.21,5028
Fair,E,SI1,1.01,5034
Fair,I,I1,1.5,5040
Fair,F,SI1,1,5040
Fair,H,VS2,1.21,5041
Fair,H,VS1,1.01,5062
Fair,I,I1,1.51,5074
Fair,D,VS2,0.93,5078
Fair,J,I1,1.83,5083
Fair,H,SI1,1.09,5085
Fair,F,VS2,1.01,5090
Fair,D,SI1,1,5096
Fair,G,SI2,1.34,5106
Fair,D,SI1,1.01,5122
Fair,F,SI1,1.01,5131
Fair,F,SI2,1.33,5139
Fair,F,SI1,1.01,5144
Fair,D,SI1,1.01,5147
Fair,G,VS2,1,5161
Fair,H,VVS2,1.08,5171
Fair,H,SI1,1.11,5178
Fair,E,SI1,1.01,5185
Fair,F,SI1,1.05,5186
Fair,I,SI1,1.19,5198
Fair,H,SI2,1.24,5208
Fair,E,SI1,1,5212
Fair,F,VS2,1.01,5226
Fair,J,I1,1.72,5240
Fair,H,VS1,1,5242
Fair,F,SI1,1.02,5255
Fair,J,SI2,1.5,5268
Fair,H,I1,1.5,5292
Fair,F,SI1,1,5292
Fair,G,VS2,1.01,5294
Fair,F,SI1,0.3,599
Fair,D,SI1,1,5331
Fair,H,SI2,1.27,5334
Fair,E,VS2,1.02,5350
Fair,E,VS2,1,5376
Fair,D,SI1,1.01,5385
Fair,D,SI1,1.01,5385
Fair,J,I1,2.14,5405
Fair,H,SI1,1.16,5411
Fair,J,I1,2.15,5430
Fair,E,VVS2,0.91,5430
Fair,D,SI1,1.01,5430
Fair,F,SI2,1.2,5445
Fair,H,VS1,1,5460
Fair,D,I1,1.5,5460
Fair,G,VS2,1.01,5475
Fair,G,VS2,1,5484
Fair,G,VS2,1,5484
Fair,G,VS1,1.12,5487
Fair,J,SI1,1.3,5488
Fair,F,VS2,1.01,5501
Fair,G,SI2,1.46,5504
Fair,E,SI1,0.39,601
Fair,J,SI1,1.35,5524
Fair,G,SI2,1.52,5533
Fair,G,VS2,1.01,5538
Fair,E,VVS2,0.9,5551
Fair,F,I1,1.96,5554
Fair,J,I1,2.22,5607
Fair,D,I1,1.7,5617
Fair,H,SI1,1.19,5622
Fair,E,SI1,1.03,5624
Fair,H,VS2,1.35,5625
Fair,D,SI1,1.01,5628
Fair,G,VS1,1.04,5633
Fair,H,I1,1.5,5645
Fair,G,VS2,1.01,5666
Fair,I,I1,2,5667
Fair,G,VS2,1.05,5673
Fair,E,SI1,1.02,5681
Fair,I,I1,2.01,5696
Fair,I,I1,2.01,5696
Fair,H,SI2,1.46,5723
Fair,E,VS2,1,5729
Fair,J,I1,2.27,5733
Fair,I,I1,1.51,5750
Fair,H,SI1,1.13,5771
Fair,F,VS2,1.01,5784
Fair,D,VS2,1.01,5797
Fair,J,SI2,1.51,5801
Fair,F,VS1,1,5833
Fair,F,VS2,1,5840
Fair,J,VS2,1.5,5846
Fair,G,VS1,1,5853
Fair,J,I1,1.81,5859
Fair,E,VS2,1.01,5882
Fair,G,VS1,1,5908
Fair,H,I1,2,5914
Fair,J,SI1,1.65,5914
Fair,J,SI2,1.52,5916
Fair,H,SI2,1.51,5919
Fair,F,SI2,1.51,5919
Fair,G,VS2,1.01,5950
Fair,H,I1,1.82,5993
Fair,H,I1,2.03,6002
Fair,H,I1,2.03,6002
Fair,J,SI1,1.5,6006
Fair,H,SI2,1.73,6007
Fair,F,VS2,1.01,6041
Fair,I,SI1,1.32,6061
Fair,G,SI2,1.33,6078
Fair,D,VS2,1.01,6081
Fair,E,SI2,1.43,6086
Fair,F,SI2,1.47,6108
Fair,F,VS1,1,6115
Fair,F,VS1,1,6115
Fair,H,SI2,1.52,6129
Fair,I,I1,1.96,6147
Fair,I,SI2,1.51,6156
Fair,D,VS2,1.01,6176
Fair,I,SI2,1.5,6209
Fair,F,VS2,1,6210
Fair,E,SI2,1.32,6221
Fair,H,SI2,1.5,6250
Fair,E,VS2,1,6268
Fair,G,VS2,1.01,6271
Fair,F,VS2,1.01,6271
Fair,F,SI2,1.6,6272
Fair,E,VS2,1,6285
Fair,J,I1,2.49,6289
Fair,H,SI2,1.51,6291
Fair,H,SI2,1.51,6291
Fair,G,I1,2.01,6315
Fair,H,I1,2.14,6328
Fair,H,SI1,1.5,6340
Fair,G,I1,2.02,6346
Fair,G,I1,2.02,6346
Fair,G,VS1,1.01,6353
Fair,F,VS1,1.01,6366
Fair,D,VS2,1.01,6366
Fair,I,SI2,1.54,6375
Fair,G,I1,2.03,6377
Fair,G,VS1,1.14,6381
Fair,F,VS1,1.01,6391
Fair,F,VS1,1,6397
Fair,G,SI1,1.21,6397
Fair,H,I1,1.49,6425
Fair,F,SI2,1.45,6455
Fair,G,I1,2.07,6503
Fair,G,VS1,1.15,6530
Fair,F,I1,2,6532
Fair,G,SI2,1.5,6552
Fair,H,I1,2.22,6564
Fair,D,SI2,1.51,6596
Fair,G,I1,2.1,6597
Fair,G,I1,2.1,6597
Fair,H,SI2,1.91,6632
Fair,F,VS1,1.01,6651
Fair,H,I1,2.25,6653
Fair,J,VS2,1.53,6659
Fair,I,SI2,1.5,6717
Fair,I,VS1,1.43,6727
Fair,G,VVS2,1.02,6736
Fair,F,I1,2.03,6753
Fair,F,VS1,1.01,6759
Fair,J,I1,2,6796
Fair,E,VS2,1.17,6814
Fair,H,SI2,1.51,6816
Fair,G,I1,2.17,6817
Fair,H,SI1,1.5,6838
Fair,H,SI1,1.5,6838
Fair,H,I1,2.32,6860
Fair,F,VVS2,1.02,6863
Fair,J,I1,2.72,6870
Fair,H,I1,1.83,6887
Fair,I,SI2,1.52,6905
Fair,E,SI2,1.5,6922
Fair,J,SI1,1.51,6976
Fair,F,I1,2.11,7019
Fair,F,SI2,1.5,7056
Fair,F,SI2,1.5,7056
Fair,G,I1,2.25,7069
Fair,G,VS1,1.08,7076
Fair,I,SI2,1.59,7080
Fair,D,VS1,1,7083
Fair,F,VS1,1.16,7094
Fair,H,SI2,1.5,7098
Fair,G,I1,2.27,7131
Fair,F,I1,0.5,613
Fair,F,I1,0.5,613
Fair,J,VS1,1.51,7139
Fair,I,VS2,1.35,7182
Fair,J,VS1,1.52,7186
Fair,H,SI2,1.5,7187
Fair,H,VS2,1.51,7188
Fair,H,SI1,1.5,7211
Fair,G,VS2,1.42,7214
Fair,G,I1,2.31,7257
Fair,F,I1,2,7258
Fair,G,VS1,1.05,7283
Fair,D,SI1,1.24,7291
Fair,F,I1,2.01,7294
Fair,G,SI1,1.5,7300
Fair,I,VVS2,1.52,7303
Fair,H,SI1,1.58,7333
Fair,F,VS1,1.13,7335
Fair,H,VS1,1.44,7338
Fair,H,SI2,1.52,7388
Fair,H,SI2,1.52,7388
Fair,E,VS1,1,7392
Fair,H,SI1,1.52,7433
Fair,E,SI2,1.5,7459
Fair,E,SI1,1.51,7468
Fair,D,SI2,1.5,7469
Fair,F,SI1,0.31,618
Fair,H,VVS2,1.5,7476
Fair,H,SI1,1.51,7509
Fair,H,VS2,1.51,7534
Fair,E,VVS2,1,7553
Fair,E,SI2,1.5,7560
Fair,F,SI2,1.5,7644
Fair,D,VS2,1.12,7696
Fair,D,SI2,1.52,7702
Fair,I,SI2,1.54,7727
Fair,I,SI1,1.52,7746
Fair,J,VS1,1.5,7819
Fair,H,SI1,1.5,7832
Fair,F,SI2,1.54,7848
Fair,G,I1,2.5,7854
Fair,I,SI1,1.5,7912
Fair,E,VVS2,1,7918
Fair,E,SI1,1.43,7928
Fair,I,I1,2.2,7934
Fair,G,SI2,1.56,7950
Fair,I,SI1,1.56,7950
Fair,F,VVS1,1.02,7960
Fair,G,SI2,1.5,7972
Fair,H,SI1,1.52,8001
Fair,H,SI1,1.51,8010
Fair,I,SI2,2,8037
Fair,H,VS1,1.5,8044
Fair,H,I1,3,8044
Fair,H,I1,2,8064
Fair,H,VS1,1.57,8133
Fair,E,SI2,1.5,8190
Fair,F,VS2,1.4,8216
Fair,H,SI1,1.51,8260
Fair,D,SI2,1.72,8264
Fair,F,SI2,1.51,8287
Fair,I,VS2,1.51,8287
Fair,I,SI1,1.51,8355
Fair,J,SI1,1.81,8362
Fair,F,SI1,1.51,8387
Fair,E,VVS1,1.01,8529
Fair,H,SI2,1.9,8576
Fair,G,SI1,1.5,8627
Fair,D,SI2,1.6,8666
Fair,H,VS2,1.52,8674
Fair,G,SI1,1.51,8681
Fair,G,I1,2.5,8711
Fair,F,SI2,1.71,8714
Fair,D,VVS2,1.01,8716
Fair,I,SI2,2,8736
Fair,F,SI1,1.49,8779
Fair,G,VS2,1.51,8794
Fair,G,SI2,1.51,8794
Fair,I,SI2,1.71,8800
Fair,J,I1,2.74,8807
Fair,H,SI1,1.52,8818
Fair,E,SI1,1.51,8869
Fair,I,VS2,1.51,8879
Fair,F,SI2,1.52,8938
Fair,E,SI2,1.64,8954
Fair,I,VS2,1.53,8996
Fair,H,SI2,1.55,9045
Fair,J,SI2,2.02,9095
Fair,I,VS2,1.51,9116
Fair,D,SI1,1.51,9293
Fair,J,VS1,1.76,9314
Fair,H,SI1,1.51,9386
Fair,H,VS2,1.51,9452
Fair,H,SI2,2,9549
Fair,D,SI2,1.51,9555
Fair,I,SI2,2,9610
Fair,H,VS2,1.51,9678
Fair,H,SI2,1.7,9682
Fair,D,SI1,1.52,9704
Fair,F,I1,0.5,627
