cut,color,clarity,carat,price
Very Good,H,VS2,0.28,376
Ideal,H,IF,0.32,814
Ideal,E,VVS1,0.41,1431
Premium,D,SI1,0.74,2655
Ideal,G,VVS1,0.33,820
Very Good,E,VS2,0.53,1857
Premium,D,SI1,0.33,780
Premium,F,SI1,1.02,4678
Ideal,G,VVS1,0.3,720
Ideal,F,VS1,0.32,639
Ideal,D,VS2,1.52,15252
Premium,F,SI2,0.7,2213
Ideal,E,SI1,0.31,660
Premium,I,SI1,1.24,5972
Ideal,G,IF,0.33,925
Premium,F,SI2,0.75,1881
Very Good,F,VS1,0.25,436
Premium,I,SI2,0.7,1890
Ideal,G,VS1,1.0,6377
Good,E,SI1,0.9,4463
Very Good,G,VS2,0.31,698
Fair,G,SI2,2.0,14208
Ideal,G,VS1,0.42,984
Good,I,VS1,1.54,10164
Good,F,VS2,1.0,6352
Very Good,E,VVS2,0.27,620
Ideal,E,SI1,1.11,6800
Ideal,F,VS1,1.36,11132
Premium,E,SI2,1.51,7610
Very Good,G,VVS1,0.35,859
Ideal,D,VVS1,0.41,1582
Premium,F,VS1,0.35,984
Premium,F,VVS2,0.51,1882
Premium,E,SI1,0.53,1654
Very Good,E,VVS2,0.27,622
Fair,G,I1,0.7,956
Ideal,G,VS1,0.45,1055
Premium,D,SI1,0.56,1814
Ideal,I,SI1,0.32,404
Premium,E,VS1,0.54,1960
Premium,E,SI2,1.52,9831
Premium,F,VVS2,0.68,2854
Premium,D,SI2,0.96,3989
Ideal,H,VS1,0.4,1035
Ideal,G,VS1,1.23,9863
Ideal,H,VS1,1.22,7418
Very Good,G,SI2,1.06,4057
Very Good,J,VS2,0.53,1124
Very Good,E,SI1,1.53,11406
Ideal,G,VS1,1.32,11584
Ideal,F,VVS1,0.38,1101
Premium,H,VS2,1.24,6850
Ideal,I,VS2,1.14,5075
Very Good,E,VS2,0.72,2872
Premium,D,SI1,0.32,589
Very Good,H,VVS1,0.8,4468
Premium,G,SI2,1.02,3904
Premium,J,SI1,0.9,2873
Premium,F,VVS2,1.2,10064
Ideal,G,SI2,1.11,5299
Ideal,J,VS2,2.13,15258
Good,E,VS1,0.7,2782
Very Good,E,SI1,0.75,2753
Very Good,E,VVS2,0.71,3340
Ideal,F,SI2,0.91,3763
Very Good,E,SI2,2.0,14763
Very Good,H,VS2,0.3,608
Very Good,E,VVS2,0.51,2211
Very Good,F,SI1,0.37,616
Very Good,F,SI2,1.03,3903
Ideal,G,VS2,0.7,3253
Premium,E,VS2,0.51,1709
Very Good,H,VS1,1.01,5305
Ideal,G,SI2,0.5,1127
Ideal,G,VS1,0.4,1125
Fair,J,SI1,0.75,1827
Premium,G,SI1,0.52,1338
Ideal,J,SI1,2.56,17753
Fair,F,VS2,1.4,8216
Ideal,G,VS1,1.13,7404
Premium,E,I1,1.02,3519
Premium,G,SI2,1.01,4327
Ideal,E,SI2,0.91,3723
Premium,I,VS2,0.38,633
Premium,E,SI2,1.01,4118
Ideal,D,VS2,0.32,758
Very Good,I,SI2,2.03,12714
Ideal,G,VS2,1.24,8799
Fair,H,VVS2,1.5,7476
Premium,D,VS2,0.71,2950
Premium,E,VS1,0.46,1437
Ideal,G,SI1,0.9,4008
Good,F,SI2,2.01,16410
Ideal,F,VS1,0.58,2227
Ideal,E,IF,0.31,1214
Premium,H,VVS2,0.34,880
Ideal,H,IF,0.31,789
Ideal,F,SI2,1.1,4897
Premium,F,SI1,0.7,2268
Good,H,VVS1,0.28,480
Ideal,E,VVS2,0.29,815
Very Good,G,SI2,0.54,1083
Good,F,SI2,0.34,536
Premium,J,SI2,3.01,18710
Ideal,E,SI1,0.51,1438
Ideal,E,SI2,0.72,2308
Ideal,F,VVS1,0.43,1261
Ideal,D,VS1,1.12,9694
Very Good,I,VVS2,0.7,2415
Premium,E,VS2,0.31,872
Ideal,J,SI1,0.73,1956
Premium,H,SI1,0.34,477
Ideal,H,VS2,1.25,7365
Premium,I,VS1,0.76,2753
Ideal,D,SI2,0.72,3176
Very Good,G,VS1,0.8,3158
Ideal,G,VVS2,0.4,917
Ideal,G,VVS2,0.51,1974
Premium,E,SI2,2.02,18117
Very Good,G,VS1,0.42,921
Good,I,VS1,1.5,8910
Very Good,I,VVS2,0.37,714
Ideal,E,SI2,0.82,3131
Premium,G,SI2,2.11,15757
Very Good,F,VS2,0.55,1777
Ideal,F,VVS2,0.72,3740
Premium,F,I1,3.01,9925
Ideal,E,SI2,0.8,3251
Premium,G,VS1,0.9,4460
Very Good,E,VVS2,0.27,575
Premium,I,VS1,0.71,2327
Very Good,E,SI1,0.73,2564
Ideal,G,SI1,1.5,12009
Premium,H,SI1,1.29,6588
Ideal,D,VS1,1.21,10335
Good,D,SI1,1.01,5443
Very Good,J,SI2,1.05,2789
Ideal,E,VS1,0.61,2324
Premium,I,VS2,2.08,18447
Premium,E,SI2,1.04,4240
Very Good,G,VVS2,1.12,8564
Very Good,H,SI1,1.48,8815
Fair,D,SI2,0.95,3384
Ideal,H,VS1,1.8,15105
Very Good,H,VS1,0.9,4309
Premium,F,VS2,0.52,1651
Premium,H,SI1,1.03,4274
Ideal,D,VS1,0.3,848
Ideal,E,VS2,0.72,3145
Very Good,G,SI2,0.7,1790
Ideal,F,VS2,1.1,5692
Premium,E,VVS2,0.37,844
Very Good,F,SI2,0.71,2129
Premium,G,VVS2,0.33,965
Premium,G,VVS1,0.32,842
Premium,H,I1,1.5,3457
Ideal,F,VS1,1.09,9786
Good,D,SI2,1.51,7519
Premium,G,VS1,0.31,695
Premium,G,VS2,0.32,720
Very Good,H,SI1,0.83,2800
Premium,H,SI2,2.21,14299
Ideal,E,SI1,0.5,1410
Premium,F,VS2,1.0,4743
Very Good,E,SI2,0.9,3697
Ideal,E,VVS2,0.4,988
Good,I,VS2,2.16,14266
Ideal,I,SI1,2.52,17231
Premium,G,SI1,0.71,2215
Good,D,SI1,0.32,756
Ideal,E,SI2,1.19,5598
Premium,G,VS1,0.57,1819
Very Good,D,VS1,0.4,1004
Premium,H,VS1,0.79,2862
Very Good,F,VS2,1.51,14165
Premium,G,SI1,1.23,6750
Very Good,F,VS2,0.51,1569
Very Good,E,VVS2,0.31,710
Very Good,D,VVS2,0.42,1185
Ideal,H,SI2,1.07,4434
Ideal,G,IF,0.33,1052
Ideal,F,VVS2,0.41,1192
Very Good,D,VS2,0.57,1998
Good,G,VVS2,0.3,684
Ideal,E,SI2,1.0,4623
Ideal,H,VVS2,1.02,6797
Premium,I,SI2,1.64,8587
Ideal,E,VVS2,0.32,837
Very Good,F,VVS1,0.24,478
Ideal,G,VS1,0.33,854
Very Good,J,VS2,1.22,4793
Ideal,H,VS2,0.5,1626
Very Good,F,VS2,0.7,2593
Ideal,F,IF,0.38,1333
Ideal,H,SI1,0.4,855
Fair,G,SI1,1.5,10352
Premium,F,I1,0.87,2170
Ideal,H,VS2,0.34,555
Premium,I,VS2,2.2,18364
Premium,I,SI1,1.01,4166
Premium,I,SI1,2.16,17934
Ideal,I,SI2,2.15,14388
Very Good,I,VS2,0.85,3070
Ideal,F,VVS2,0.28,612
Ideal,I,SI2,1.06,4092
Good,E,VS2,0.5,1407
Very Good,G,VS2,0.32,561
Ideal,F,VVS1,0.31,840
Premium,E,SI1,0.66,1708
Very Good,E,VVS2,0.23,505
Very Good,I,SI1,1.07,4451
Ideal,F,VS2,0.51,1562
Good,F,SI2,1.0,3265
Premium,I,VS2,1.5,8431
Very Good,H,VVS1,0.7,2788
Ideal,F,VVS1,0.26,599
Ideal,D,SI1,1.39,9519
Ideal,H,VS1,0.9,5013
Premium,F,SI2,0.76,2287
Premium,I,SI2,0.41,692
Very Good,G,I1,1.15,3510
Ideal,D,SI1,0.36,663
Ideal,G,VS2,1.03,6793
Very Good,F,VVS1,0.42,1154
Ideal,I,VS1,0.77,2798
Ideal,G,VS1,0.61,2166
Ideal,I,VVS1,0.6,1715
Ideal,F,VS1,0.51,1836
Fair,E,SI2,2.0,15540
Very Good,D,VS2,0.36,759
Very Good,F,VS2,1.01,5902
Fair,J,VS1,1.51,7139
Premium,J,VVS1,0.41,775
Premium,D,SI1,1.01,6066
Fair,G,VS1,0.4,798
Ideal,E,VVS2,0.31,766
Very Good,I,VS2,1.12,5249
Premium,H,VS1,0.41,1061
Very Good,D,SI1,0.56,1777
Very Good,E,SI2,0.51,1180
Premium,I,VS1,1.04,4892
Very Good,G,SI2,0.53,1000
Good,F,VS1,0.46,1168
Good,I,SI1,2.07,13993
Very Good,H,VS1,0.5,1598
Premium,E,SI1,0.42,992
Ideal,F,SI1,1.03,6059
Ideal,D,SI1,1.0,6664
Premium,H,VS1,0.3,675
Ideal,H,IF,0.35,1103
Ideal,G,SI2,0.33,557
Very Good,G,VVS1,0.5,1940
Good,E,SI1,0.4,857
Ideal,H,SI2,0.85,2833
Ideal,G,SI1,0.91,4922
Premium,G,SI1,1.0,3568
Very Good,D,SI2,0.32,477
Very Good,G,VS2,0.31,544
Premium,D,SI2,2.01,17235
Ideal,D,SI1,0.73,2943
Ideal,J,SI2,0.51,885
Ideal,D,VS1,0.31,877
Premium,D,IF,0.7,5027
Ideal,H,VS2,0.7,2607
Ideal,G,VS1,0.33,854
Ideal,D,SI1,0.72,2757
Ideal,G,VS1,0.26,478
Ideal,G,VVS1,0.43,1207
Very Good,I,VS1,1.57,10336
Premium,D,SI1,0.32,756
Good,G,SI2,1.5,8144
Very Good,D,SI2,0.5,1306
Very Good,D,VS2,0.41,939
Ideal,F,SI1,1.53,11525
Good,G,VVS2,0.9,5001
Very Good,H,VS1,0.5,1598
Ideal,H,VS2,0.3,626
Premium,G,VS2,0.7,2479
Premium,F,SI2,0.52,1073
Ideal,G,VS2,1.04,6529
Ideal,F,VS1,0.71,3404
Ideal,H,SI1,1.11,5854
Very Good,G,SI1,1.0,4626
Good,D,VS1,1.01,6612
Premium,D,VVS2,0.55,2366
Ideal,H,VVS2,0.3,590
Very Good,I,SI2,0.32,480
Very Good,E,IF,0.7,4679
Good,G,VS2,1.2,7603
Ideal,G,SI2,0.4,632
Very Good,I,SI1,1.2,5408
Good,H,SI1,0.9,3484
Ideal,E,VS2,0.31,872
Ideal,D,VS2,0.3,710
Very Good,D,SI1,1.59,13631
Ideal,F,VS1,0.71,3066
Ideal,F,VS2,0.56,1723
Premium,G,VS1,1.02,6683
Premium,E,VS2,1.54,15002
Premium,F,VVS1,0.32,1235
Ideal,G,SI1,1.02,4708
Very Good,H,VS1,0.32,561
Ideal,G,VS2,0.57,1608
Very Good,F,SI2,1.0,4255
Very Good,H,VVS2,1.7,11133
Ideal,E,SI1,0.55,1668
Very Good,H,VS2,0.57,1605
Premium,D,SI2,1.5,8518
Good,E,SI2,1.0,4307
Premium,G,VS1,0.41,961
Ideal,J,VS2,0.45,672
Premium,H,SI1,1.53,8365
Good,G,SI2,1.02,4159
Ideal,H,SI2,1.15,4315
Ideal,F,SI2,0.73,2276
Premium,F,SI2,0.71,2137
Premium,F,VVS2,0.37,948
Premium,E,SI2,0.5,1286
Fair,H,SI2,1.51,6816
Very Good,D,SI1,0.34,626
Good,F,SI1,1.41,8212
Ideal,G,SI1,2.03,18757
Ideal,F,VS1,1.01,7412
Premium,F,VS2,0.3,776
Premium,I,VS2,1.3,6442
Ideal,D,SI2,1.03,4679
Premium,I,VS1,1.31,5759
Very Good,E,SI1,0.7,2575
Premium,G,VS1,1.07,6076
Good,I,VVS2,0.71,2428
Ideal,D,VS2,0.4,1050
Ideal,H,VS1,0.9,4194
Premium,H,VVS1,0.3,684
Ideal,F,SI2,0.91,3642
Ideal,D,VVS2,0.51,2718
Premium,E,VS1,0.74,3312
Ideal,E,VVS1,0.41,1221
Premium,G,IF,0.8,4268
Premium,I,SI1,0.72,2148
Ideal,H,IF,0.31,761
Premium,G,SI1,0.4,900
Very Good,G,VS2,1.02,6062
Ideal,I,SI1,2.03,11472
Ideal,E,VS2,0.32,960
Good,F,SI2,1.51,7695
Ideal,F,VS2,0.4,1080
Premium,E,SI1,0.5,1238
Ideal,H,SI2,1.51,7990
Ideal,D,SI1,0.34,626
Ideal,G,VS2,2.01,18607
Good,I,SI2,1.51,7815
Premium,E,SI1,0.9,3508
Very Good,I,IF,1.51,12291
Premium,I,VS1,0.3,473
Good,H,SI2,2.02,13144
Very Good,I,SI2,1.51,6914
Ideal,F,VS2,0.32,645
Good,E,VS2,0.31,651
Very Good,G,VS2,0.3,505
Good,G,SI2,1.79,9122
Premium,G,VS2,1.0,5967
Good,F,SI1,1.19,5825
Ideal,G,IF,0.46,1987
Ideal,D,VS2,0.5,2243
Premium,F,SI1,0.92,3684
Premium,H,VVS1,0.34,775
Ideal,G,VVS1,0.3,1013
Good,F,SI2,1.06,4357
Premium,H,SI2,1.0,3080
Good,H,SI1,0.5,1017
Good,E,VS2,0.53,1422
Premium,G,SI1,1.01,5204
Ideal,G,VS2,1.09,6905
Good,F,VS1,0.9,4508
Very Good,E,SI2,0.31,435
Premium,G,SI1,0.4,900
Very Good,F,VS2,0.5,1436
Very Good,D,SI2,0.9,3818
Ideal,G,VS1,0.32,551
Premium,H,SI2,1.11,4212
Good,E,VS2,1.01,6517
Ideal,H,SI1,1.54,9391
Good,G,SI1,0.7,2150
Very Good,F,SI1,1.3,7567
Ideal,J,VS2,1.2,5318
Premium,I,SI1,1.01,4525
Very Good,E,SI1,1.0,4864
Ideal,F,VS2,1.7,17662
Fair,I,VS2,1.51,8879
Premium,D,VS2,0.51,1928
Very Good,G,SI1,0.96,4136
Premium,E,SI1,1.6,9229
Very Good,J,VS2,2.1,14229
Premium,H,VS2,0.71,2363
Premium,D,SI2,0.41,795
Ideal,E,VS1,0.41,1079
Ideal,D,SI2,0.32,612
Ideal,I,SI1,1.57,9460
Premium,E,VVS2,0.54,2313
Ideal,H,SI1,0.43,891
Premium,H,VS2,0.81,2795
Ideal,H,VVS2,0.43,1008
Very Good,G,VS2,0.56,1580
Very Good,I,VVS1,0.33,608
Ideal,G,VS1,0.81,3544
Very Good,D,VS2,0.55,1796
Good,I,SI1,0.35,606
Very Good,F,VS2,0.5,1436
Ideal,E,IF,1.02,11605
Premium,F,VS2,1.21,8660
Premium,J,SI1,0.4,675
Premium,I,VS2,2.14,15559
Ideal,F,VS2,0.3,776
Ideal,D,VS2,1.11,10443
Premium,E,VVS1,0.54,2370
Ideal,E,VVS1,0.32,814
Ideal,E,VVS2,1.2,11883
Good,E,SI2,2.01,15255
Ideal,H,SI1,1.1,5583
Premium,H,SI1,1.2,5899
Good,I,SI1,0.34,574
Very Good,D,VS2,0.54,2113
Ideal,F,VVS2,0.38,1052
Ideal,D,VS2,0.57,1998
Very Good,F,VVS2,1.24,11130
Premium,J,SI2,2.03,12078
Ideal,H,SI2,0.78,2332
Ideal,H,VS2,1.1,5347
Very Good,F,VS2,0.71,2697
Ideal,F,VS1,0.65,2340
Very Good,E,SI1,0.3,675
Ideal,G,VS2,0.41,827
Ideal,H,VVS1,0.31,687
Ideal,G,SI1,1.26,6738
Ideal,E,VS2,0.7,2553
Ideal,G,SI2,0.92,4406
Very Good,D,SI1,0.9,4381
Ideal,H,SI1,0.3,514
Ideal,F,VVS1,0.33,829
Ideal,D,VVS2,0.31,853
Premium,G,VVS2,0.4,982
Premium,I,SI2,0.4,702
Ideal,E,SI1,1.01,5590
Very Good,G,VVS1,0.41,1151
Premium,I,VS2,1.01,4592
Very Good,D,VS2,0.51,1597
Ideal,E,VVS2,0.41,1187
Ideal,F,VS2,0.75,2933
Good,F,SI2,1.01,3895
Very Good,H,SI1,1.22,6071
Ideal,I,VS2,0.84,3475
Very Good,D,SI1,0.54,1650
Good,I,SI1,0.32,554
Premium,G,SI1,0.6,1646
Very Good,G,SI2,1.01,3577
Premium,D,VS2,1.54,11795
Very Good,E,I1,1.18,3965
Ideal,E,VS1,0.7,3016
Fair,D,IF,0.37,1440
Premium,G,VS1,0.31,802
Very Good,E,VS2,0.52,1689
Very Good,F,VVS1,0.48,1914
Ideal,E,VS1,0.73,3311
Ideal,E,VS1,0.3,694
Ideal,I,VVS2,0.35,598
Premium,D,SI2,0.51,1406
Good,D,VS1,0.4,954
Ideal,E,VS2,0.6,2137
Premium,E,VS1,1.0,7392
Ideal,I,VS2,1.24,6076
Ideal,H,SI1,1.7,9139
Premium,H,VS1,0.34,596
Ideal,E,SI1,1.05,6316
Good,E,SI2,0.61,1408
Very Good,D,VS2,0.71,3217
Very Good,G,VS1,1.06,6707
Very Good,D,SI1,1.01,6630
Very Good,I,SI2,0.77,2159
Very Good,F,SI2,2.05,15017
Premium,D,SI1,1.0,5488
Ideal,G,VVS2,1.07,8235
Ideal,D,VS2,0.92,6513
Premium,J,VS2,1.51,7455
Ideal,F,VS2,1.67,17351
Ideal,H,VVS2,1.53,12848
Premium,I,SI1,1.03,3749
Premium,I,VVS2,0.33,743
Ideal,H,VS2,0.32,505
Premium,H,I1,1.0,2695
Very Good,J,SI2,1.22,4652
Ideal,E,VS1,0.54,1962
Ideal,D,VS2,0.61,2202
Ideal,D,VS2,1.51,15821
Premium,H,VS2,1.01,4559
Ideal,F,VVS1,0.52,2251
Ideal,D,VS1,0.29,647
Ideal,F,VS1,0.32,695
Ideal,H,VS1,0.3,675
Ideal,E,VS2,0.31,680
Very Good,F,VVS1,0.71,3461
Ideal,G,IF,0.33,861
Very Good,D,VS2,0.74,2906
Premium,G,SI2,0.34,574
Ideal,E,VS2,0.7,3172
Ideal,D,VS2,0.73,3464
Premium,I,VVS2,0.31,544
Premium,E,VVS2,0.57,2507
Ideal,D,SI1,0.34,803
Very Good,F,SI1,0.92,4037
Ideal,I,SI2,1.0,3629
Premium,F,SI2,0.32,421
Premium,D,VS2,0.33,1069
Good,E,SI1,1.2,6653
Ideal,D,SI1,0.32,715
Ideal,E,VS1,0.33,781
Ideal,F,VS1,0.77,3647
Premium,H,VVS2,1.5,11855
Ideal,J,VS2,1.21,4879
Very Good,J,VS2,0.51,1008
Premium,E,SI1,0.71,2817
Premium,G,VS1,0.54,1760
Very Good,J,VS2,1.51,7418
Ideal,H,VS2,1.03,6123
Ideal,I,VS1,1.53,10796
Very Good,H,IF,0.36,865
Ideal,G,I1,1.02,3459
Premium,H,VS2,1.29,7802
Fair,D,SI1,0.5,1323
Ideal,H,VVS2,1.19,7651
Premium,H,VS2,0.71,2181
Ideal,I,VVS2,0.5,1367
Very Good,E,VS1,1.05,7969
Premium,I,SI1,0.45,941
Premium,E,SI1,0.41,969
Ideal,E,VS1,0.52,1793
Very Good,G,SI2,1.82,11971
Ideal,I,SI2,1.21,5184
Premium,H,VS2,1.2,6416
Ideal,E,VS2,0.5,1629
Good,J,SI1,0.63,1134
Fair,I,SI1,0.85,2493
Ideal,E,SI2,0.56,1296
Ideal,E,VVS1,0.33,984
Very Good,I,SI2,2.05,14071
Very Good,E,SI2,0.36,471
Fair,F,SI1,0.71,2088
Premium,I,SI2,1.01,3818
Very Good,D,IF,0.31,1331
Ideal,G,VS1,0.59,1803
Ideal,H,SI1,0.7,2113
Premium,E,VVS2,0.3,1013
Good,G,VS2,0.34,714
Ideal,F,VS1,0.41,1076
Ideal,I,VVS1,0.58,1758
Premium,F,IF,1.02,11167
Premium,D,SI1,0.71,2861
Ideal,F,VS2,0.51,1562
Very Good,J,VS1,0.76,2036
Premium,H,SI1,0.36,665
Very Good,G,VS2,0.57,1608
Very Good,F,SI1,1.53,12621
Premium,G,VS1,0.31,625
Very Good,G,VS1,0.32,645
Very Good,H,VS2,0.7,2074
Premium,H,VS2,1.56,10331
Premium,G,VS1,0.31,802
Premium,F,SI1,0.71,2633
Ideal,E,VVS1,0.56,2750
Premium,F,SI1,1.01,5345
Ideal,H,SI2,0.32,420
Ideal,F,VS1,0.57,1949
Very Good,E,SI1,0.41,755
Premium,I,SI1,1.17,4914
Good,D,SI2,1.2,6344
Very Good,E,SI1,1.0,5413
Premium,H,SI1,0.8,2699
Ideal,G,IF,0.52,2267
Premium,E,SI1,1.0,5027
Ideal,E,SI1,0.4,772
Premium,F,SI1,1.57,12112
Premium,J,VS1,0.3,506
Good,H,SI2,0.73,2085
Very Good,F,SI2,0.44,648
Ideal,G,VS1,0.52,1803
Premium,G,SI2,0.72,1588
Premium,I,VVS1,2.08,15654
Premium,E,VVS2,1.2,11435
Good,E,SI1,0.5,1217
Good,F,VS2,1.42,9542
Very Good,I,SI2,1.27,5371
Premium,E,SI1,0.6,1830
Premium,D,SI1,0.71,2863
Premium,G,SI2,0.95,3181
Very Good,D,VVS2,1.0,10113
Ideal,G,VS1,0.32,828
Good,E,SI1,0.4,682
Very Good,E,SI1,0.9,3508
Premium,I,SI2,0.7,1724
Good,D,SI1,0.5,1447
Ideal,H,VVS2,0.4,1125
Ideal,D,SI2,0.73,2683
Very Good,F,VS1,0.41,974
Ideal,I,VVS2,0.9,4011
Ideal,D,VS2,0.31,734
Very Good,G,IF,0.72,3614
Ideal,G,VS1,0.33,666
Premium,G,SI1,0.7,2394
Ideal,E,VS2,0.73,3198
Very Good,E,SI2,0.75,2719
Ideal,G,SI2,1.04,4277
Ideal,G,VS1,0.56,1915
Ideal,E,VVS2,0.31,864
Premium,H,SI2,2.21,13872
Very Good,H,VS2,0.92,4173
Premium,H,SI1,1.31,7395
Ideal,G,SI1,1.17,6419
Good,I,SI1,2.01,14597
Premium,I,SI1,1.22,5602
Premium,E,SI2,2.46,10470
Very Good,H,SI1,1.12,4576
Ideal,F,VS1,0.36,803
Ideal,F,VS1,1.02,8011
Premium,J,VS2,0.3,368
Very Good,H,VS1,0.9,4201
Premium,I,SI2,1.31,5744
Premium,F,SI2,1.02,4162
Very Good,G,SI2,0.71,1740
Ideal,D,VVS1,0.61,4241
Very Good,H,VS1,0.6,1679
Ideal,F,VVS2,0.57,2797
Good,D,SI2,0.9,3806
Ideal,H,SI1,1.07,3415
Premium,E,SI2,0.39,834
Ideal,F,VS2,0.54,1619
Ideal,F,SI1,1.52,12364
Ideal,G,IF,0.32,918
Ideal,E,VS1,1.21,12111
Ideal,F,SI1,0.9,4724
Very Good,D,SI1,0.36,663
Ideal,H,SI1,0.76,2765
Premium,F,VS2,1.75,17172
Very Good,E,VVS1,0.24,552
Ideal,F,VVS2,0.31,759
Ideal,I,VS2,0.57,1326
Ideal,F,VS2,0.41,1107
Premium,I,SI1,1.52,8852
Good,F,SI1,0.9,3893
Ideal,F,SI2,1.01,4458
Very Good,G,VS2,0.72,2578
Ideal,F,SI1,0.32,586
Ideal,E,VVS2,1.15,12193
Ideal,E,SI2,0.81,3050
Ideal,F,VS1,0.7,2839
Premium,I,SI2,1.27,5249
Ideal,G,VS1,0.33,666
Ideal,I,IF,0.31,652
Ideal,F,SI1,0.71,2669
Ideal,G,VS2,0.54,1637
Good,F,SI1,0.4,687
Very Good,F,VS2,0.62,1832
Ideal,F,VS2,0.36,875
Ideal,G,VS2,0.84,3936
Premium,H,SI2,2.04,13790
Premium,H,SI2,1.11,4662
Ideal,H,VVS2,0.3,567
Ideal,E,VS1,0.53,1827
Very Good,F,VVS1,0.4,1111
Ideal,G,SI1,0.54,1350
Very Good,E,VS2,0.26,453
Ideal,D,I1,0.34,413
Premium,G,VS2,1.62,13578
Ideal,D,VS2,0.52,1868
Ideal,I,SI1,1.2,5376
Premium,F,VS1,0.51,1627
Very Good,G,SI1,0.39,703
Ideal,H,VS1,1.53,12459
Very Good,H,SI1,1.19,5698
Premium,H,SI1,1.33,7302
Ideal,F,VS1,0.26,452
Good,E,SI1,1.01,5132
Premium,E,SI2,0.74,2553
Ideal,E,VS2,0.4,1092
Ideal,D,SI1,0.4,950
Ideal,D,SI1,0.31,732
Premium,F,VS2,0.31,749
Very Good,H,SI1,1.5,9035
Good,H,SI1,1.01,4559
Premium,F,VS2,0.31,802
Premium,G,VVS2,1.01,7466
Ideal,E,VS2,0.53,1707
Good,G,VS1,0.7,2803
Good,F,SI1,0.71,2308
